feedback_id,summary_id,user_id,rating,comment,created_at
e854e399,d9c3083a,a8be72c4,5,Not relevant to the template I selected.,2025-11-14 03:18:59
8e60a139,9a309049,83d3fbf1,5,,2025-09-06 06:13:44
3eeea109,8c44167d,3c90017a,4,Formatting was clean and professional.,2025-09-21 08:01:37
98194c94,0ef53bb6,a6b28f61,4,,2025-12-12 16:59:53
c6a4a0bb,d7413116,6eb8198a,5,,2025-09-03 21:54:28
c6096f35,695e6dd1,19e928ce,5,Formatting was clean and professional.,2025-12-11 22:33:22
65cdcb60,6101566c,92e77547,5,"Very good, just needed minor edits before submitting.",2025-12-14 09:33:00
f1c2a164,af76d67c,10d49419,3,Some of the names were mixed up in the output.,2025-10-28 19:15:08
cdf8dc63,5dfed653,a6b28f61,5,,2025-03-07 19:40:09
995d3e3e,e3fc6991,bd564458,3,Incorrectly flagged a safeguarding concern that wasn't there.,2025-10-09 07:42:11
b2552bf7,19624ca0,66e5903e,4,Needs more detail on the housing situation discussed.,2025-12-01 06:34:42
2ef767e3,45133e9c,e9b20ff8,4,,2025-07-31 12:58:15
c40fda10,cd095c7a,a6b28f61,2,Great structure but missed the emotional context of the conversation.,2025-12-10 06:55:26
0ba30898,ce2d0c58,f3fd034f,5,,2025-11-14 10:23:11
1c3c321e,d6d8e661,2f1778af,3,Not relevant to the template I selected.,2025-10-19 08:54:17
20b73aa3,5571766f,fe8d58da,4,"The summary was too long, I needed something more concise.",2025-09-08 00:03:18
a1ba09c0,f4862b07,bea58f56,2,"Very good, just needed minor edits before submitting.",2025-10-08 18:26:20
8ccb2f33,12549431,0067a644,5,,2025-09-24 10:11:10
7746b785,56904c31,2b70f7a1,3,"Excellent summary, captured all the action points.",2025-08-21 21:59:09
328d46dd,93d49cd1,2b70f7a1,2,"Perfect, used it directly in my case notes.",2025-07-25 03:06:53
76383f51,8d8f0e5e,66e5903e,3,Good overall but the tone was a bit too formal for this context.,2025-10-01 21:03:43
53fe077e,7443ba82,143e5986,4,Good overall but the tone was a bit too formal for this context.,2025-07-10 10:48:19
f7e732fb,35ef6adc,c91b803f,5,,2025-12-04 04:22:55
90d256a0,f8be94c7,fe63b427,5,,2025-07-19 06:07:48
a1a76329,3875f66e,10d49419,3,Missed some key details about the risk assessment.,2025-11-10 14:39:13
cf70862d,15ef6665,19e928ce,5,Formatting was clean and professional.,2025-12-11 20:35:43
df02daf4,27826694,c91b803f,1,"Really helpful, especially the safeguarding flags section.",2025-11-20 20:04:31
f7c4911a,2e0283a2,c91b803f,3,,2025-12-01 04:18:36
8d1cca8c,03ea4f8c,143e5986,4,,2025-12-13 13:40:42
6a50f2d1,976c26b3,fe63b427,5,,2025-10-14 20:37:04
3e63608d,a3f309af,fe63b427,4,,2025-07-29 05:00:09
d21a63b4,7aba986c,fe8d58da,2,Incorrectly flagged a safeguarding concern that wasn't there.,2025-12-02 02:16:35
6a6d0257,f8dd4009,66e5903e,5,"Perfect, used it directly in my case notes.",2025-11-26 12:38:23
31b6ca43,fe3e5f82,bd564458,5,"Accurate and well structured, saved me a lot of time.",2025-11-03 03:33:32
64775bbf,ba915adc,0067a644,5,,2025-12-11 00:47:17
c0631d6c,aaf7459f,0067a644,4,"Picked up on things I might have missed, very useful.",2025-09-30 15:04:50
3a6db244,542dee16,19e928ce,4,,2025-11-28 17:38:55
5e586958,7132de5d,2b70f7a1,1,"The summary was too long, I needed something more concise.",2025-06-12 09:21:23
de5a3ef6,1ec74945,a8be72c4,5,Not relevant to the template I selected.,2025-12-13 20:53:27
89d3490b,6cfc9186,fe8d58da,5,"Excellent summary, captured all the action points.",2025-12-13 06:31:02
f5e46ed6,f5c62504,19e928ce,5,,2025-12-07 02:30:45
